Error Code,Description,Explanation,Suggestion
C 201 A 0,Setup of Safety Control Board failed,No data was received from the Control Board at initialization or invalid safety parameters have been received,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 201 A 1,SC Bu A is not responding,No data or invalid data was received from the Control Boardu A at initialization,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 201 A 2,SC Bu B is not responding,No data or invalid data was received from the Control Boardu Bat initialization,Do a Complete rebooting sequence.
C 201 A 3,SCBis not responding,No data or invalid was received from Control Board when requested for configuration parameters,Do a Complete rebooting sequence.
C 202 A,"SCE configuration was illegal, after applying tolerances",,
C 203 A,Poly Scope detected a mismatch between the shown and(to be) applied safety parameters,Poly Scope continuously verifies that the shown safety parameters are equal to the running parameters,a) Check that the software version is the same or newer than the firmware on the Safety Control Board. b) Reload the installation. c) Do a Complete rebooting sequence
C 204 A,Protective Stop: Path sanity check failed,,
C 204 A 1,Sudden change in target position,,
C 204 A 2,Inconsistency between target position and speed,Controller is detecting that position in current cycle has changed much more than it should based on expected joint speed.,"a) Either an incorrect payload is mounted, or an external force is pushing the robot. b) Check TCP configuration, payload and mounting settings."
C 204 A 3,Sudden stop,The program contains motions that are not ramp ed correctly down,"To abort a motion, use \stopj\”or \”stopl\”script commands to generate a smooth deceleration before using\”wait\”. Avoid aborting motions between way points with blend”"
C 204 A 4,Robot has not stopped in the allowed reaction and braking time,,
C 204 A 5,Robot program resulted in invalid set point,,Review way points in the program
C 204 A 6,Blending failed and resulted in an invalid set point,,Try changing the blend radius or contact technical support
C 204 A 7,Robot approaching singularity – Acceleration threshold failed,,"Review way points in the program, try using Move J instead of Move L in the position close to singularity"
C 205 A,Target speed does not match target position,,
C 205 A 0,Inconsistency between target position and speed,,
C 206 A,Sanity check failed,,
C 206 A 0,Target joint speed does not match target joint position change – Base,,
C 206 A 1,Target joint speed does not match target joint position change – Shoulder,,
C 206 A 2,Target joint speed does not match target joint position change – Elbow,,
C 206 A 3,Target joint speed does not match target joint position change – Wrist 1,,
C 206 A 4,Target joint speed does not match target joint position change – Wrist 2,,
C 206 A 5,Target joint speed does not match target joint position change – Wrist 3,,
C 207 A,Field bus input disconnected,,"Check field bus connections (RT DE, Mod Bus, Ether Net/IP and Prof in et) or disable the field bus in the installation. Check RT DE watchdog feature. Check if a URC apis using this feature."
C 208 A,Debug Assertion failed,An assert was executed. Notice: The functionality is exclusively used for testing purposes.,
C 209 A,A protective stop was triggered(for test purposes only),A protective stop was triggered. Notice: The functionality is exclusively used for testing purposes.,
C 210 A,Socket is read-only when the robot is in local (Teach pendant) control,,Set the robot in remote control in Poly Scope to enable receiving scripts in the controller
C 211 A,Operational mode changed,,
C 211 A 0,Disabled,,
C 211 A 1,Automatic,,
C 211 A 2,Manual,,
C 212 A,Name conflict in loaded program,,
C 212 A 1,Name conflict(s) occurred between feature names and program variables,"Some feature names and program variables share the same name, which may cause confusion.",Rename the program variables.
C 217 A,Blank space detected at the beginning of a string,Leading blank spaces in strings are ignored in this version,Make sure that these leading blank spaces are intentional otherwise remove them
C 218 A,A thread used a lot of time,"There may be an infinite loop or other command that does not move the robot, this can cause program overload",Add a Wait command or sync () script to split long program sequences and have sequenced processing time
C 218 A 0,Main Robot Program used a lot of time,"There may be an infinite loop or other command that does not move the robot, this can cause program overload",Use a wait command or sync () script
C 218 A 1,A thread used a lot of time,"There may be an infinite loop or other command that does not move the robot, this can cause program overload",Use a wait command or sync () script
C 219,Change in offset is too high,Following the specified offsets would result in the robot exceeding safety limits,
C 219 A 1,Close to joint speed safety limit,Following the specified offsets would result in the robot exceeding safety limits,Review program speed and acceleration
C 219 A 2,Close to tool speed safety limit,Following the specified offsets would result in the robot exceeding safety limits,Review program speed and acceleration
C 219 A 3,Close to momentum safety limit,Following the specified offsets would result in the robot exceeding safety limits,Review program speed and acceleration
C 257 A,Unknown message,,
C 258 A,Invalid Payload,,Please insert a valid payload
C 259 A,Filesystem related issue,,
C 259 A 0 to C 259 A 81,Critical error,A critical error occurred in the filesystem,a) Do a Complete rebooting sequence b) Update robot Software c) Re image SD card d) Contact your local Universal Robots service provider for assistance.
C 260 A,Brake Release,Brake release not responding properly,a) Check the brake release system b) Do a Complete rebooting sequence c) Contact your local Universal Robots service provider for assistance.
C 260 A 0,Critical error,A critical error occurred during Brake Release,"a) Do a Complete rebooting sequence b) Ensure the mounted payload, TCP and Co G matches your configuration. c) Update robot software d) For further assistance, contact your local Universal Robots service provider."
C 260 A 1 to C 260 A 21,Brake Release,Motor moved only,
C 261 A,Temperature Sensor,,
C 261 A 0 to C 261 A 3,Critical error,A critical error occurred in the temperature sensor,a) Do a Complete rebooting sequence b) Contact your local Universal Robots service provider for assistance.
C 261 A 4 to C 261 A 15,Temperature is too high(degrees Celsius),Ambient temperature is too high or low. Temperature sensor read a temperature outside the allowed range.,a) Check robot’s environment and make sure the robot is operating within recommended limits. b) Do a Complete rebooting sequence
C 262 A,Communication,,
C 263 A,Motor Encoder,,
C 263 A 0 to C 263 A 31,Critical error on Motor Encoder,A critical error occurred in the Motor Encoder.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 264 A,Task Manager,,
C 264 A 0 to C 264 A 11,Critical error on Task Manager,A critical error occurred in the task manager. Overload of the task manager.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 265 A,Joint Encoder,,
C 268 A 0,Special Command,Received un handled command cm d,
C 268 A 1,Special Command,Recieved Set Zero Command at too high speed,
C 269 A,Transceiver,Field bus transmitting and receiving of information failed,
C 269 A 0 to C 269 A 70,Transceiver,,
C 271,Low-level runtime thread,Process running behind,a) Check that the program and client interface is not taking unnecessary resources.
C 271 A 1 to C 271 A 5,Runtime is too much behind,One of the threads might be using too much time,Consider using a Wait or sync() to split long program sequences that do not move the robot.
C 272 A,Missing joint calibration,,
C 272 A 0 to C 272 A 6,Critical error – the calibration is missing,calibration could not be loaded,a) Update software b) Contact your local Universal Robots service provider for assistance.
C 273 A,Cross monitoring,,
C 273 A 0,Critical error,A critical disagreement error occurred in the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 1,Cross monitoring,Float value on A-side,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 2,Cross monitoring,Float value on B-side,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 3,Cross monitoring,Unsigned value on A-side,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 4,Cross monitoring,Unsigned value on B-side,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 5,Disagreement on Safety Control Board State,A critical disagreement occurred within the safety system.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 6,Disagreement on Robot State,A critical disagreement occurred within the safety system.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 7,Disagreement on Safety State,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 8,Disagreement on position,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 9,Disagreement on velocity,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 10,Disagreement on current,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 11,Disagreement on temperature,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 12,Disagreement on Teach Pendant State,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 13,Disagreement on Teach Pendant Emergency Stop,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 14,One processor entered Fault State,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 15,One processor entered Violation State,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 16,Joint State disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 17,Joint Constant Data CRC disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 18,Joint target current disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 19,Torque Window disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 20,Torque Error disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 21,Target Velocity disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 22,Target Acceleration disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 23,Recovery Mode CRC disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 24,Robot Configuration CRC disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 25,User Configuration CRC disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 26,Maximum stopping time disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 27,Stopping Time Torque Overload disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 28,Disagreement error on a specific joint,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 29,Tool speed disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 30,Safety Mode Limit disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 31,Hand Protection Distance disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 32,Elbow Sphere speed disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 33,Momentum disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 34,Power disagree e ment,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 35,Elbow position disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 36,Work piece Rotation disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 37,Disagreement on Work piece Position,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 38,Disagreement on motor parameter (R_ pp),A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 39,Disagreement on motor parameter (L_ pp),A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 40,Disagreement on motor parameter (Kb),A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 41,Disagreement on motor parameter (Kt),A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 42,Disagreement on motor parameter (T),A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 43,Disagreement on the Teach Pendant’s Three-Position Enabling Device,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 44,Disagreement on the active status of the Teach Pendant’s Three-Position Enabling Device,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 45,Cross monitoring,"Disagreement on user safety configuration version, major",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 46,Cross monitoring,"Disagreement user safety configuration version, minor",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 47,Disagreement on state,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 48,Disagreement on Injection-Molding- Machine-Interface Emergency Stop input,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 49,Disagreement on Injection-Molding- Machine-Interface Emergency Stop output,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 50,Disagreement on Injection-Molding- Machine-Interface Safeguard input,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 51,Disagreement on Injection-Molding- Machine-Interface type,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 52,Disagreement on Torque Parameters CRC,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 53,Target Torque disagreement,A critical disagreement occurred within the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 54,Cross monitoring,Disagreement on hardware configuration CRC,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 55,Cross monitoring,Disagreement on compensation current,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 273 A 56,Cross monitoring,Disagreement on external torque target,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 274 A 1,Control box fan error,Fan is not running,
C 274 A 2,Control box fan error,Monitoring data timed out,
C 274 A 3,Control box fan error,Check Fan speed,
C 275 A 0 to C 275 A 6,Brake release,,Check payload settings. Check for robot stuck.
C 276 A,Uart between microprocessor,,
C 276 A 0 to C 276 A 14,Critical error,A critical error occurred in the UART driver,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 277 A 1 to C 277 A 11,Memory,Memory allocation,Release some memory from the programs or check UR Cap or too much files in the robot
C 278 A,Servo in Joint A processor,,
C 278 A 0 to C 278 A 13,Critical error,A critical error occurred in the servo module,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 279 A,Flash in joint,,
C 279 A 0 to C 279 A 20,Critical error,A critical error occurred in the flash driver,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 280 A,Real-time error,,
C 280 A 0 to C 280 A 9,Critical error,A critical real-time error occurred,a) Do a Complete rebooting sequence b) Update software c) Check communication between joints d) Contact your local Universal Robots service provider for assistance.
C 281 A,Robot State Machine,,
C 281 A 0,Critical error,A critical State Machine error occurred,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 1,Robot State Machine,An invalid transition occurred in the code,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 2,Robot State Machine,An invalid Robot State occured,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 3,Joint entered the Fault State,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 4,Joint entered the Violation State,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 5,Robot State Machine,"Shutdown took too long, check robot voltage",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 6,Robot State Machine,Moved to a nun handled state,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 7,Teach Pendant entered the Fault State,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 8,Teach Pendant entered the Violation State,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 9,Joint moved too far before robot entered RUNNING State,A Joint moved more than the permissible range during the Brake Release procedure.,"a) Do a Complete rebooting sequence b) Ensure the mounted payload, TCP and Co G matches your configuration. c) Update software d) Contact your local Universal Robots service provider for assistance."
C 281 A 10,Robot State Machine,Failed to power on the Robot arm,"a) Do a Complete rebooting sequence b) Ensure the mounted payload, TCP and Co G matches your configuration. c) Update software d) Contact your local Universal Robots service provider for assistance."
C 281 A 11,Robot State Machine,Caused by specified joint,"a) Do a Complete rebooting sequence b) Ensure the mounted payload, TCP and Co G matches your configuration. c) Update software d) Contact your local Universal Robots service provider for assistance."
C 281 A 12,Robot State Machine,Caused by specified state,"a) Do a Complete rebooting sequence b) Ensure the mounted payload, TCP and Co G matches your configuration. c) Update software d) Contact your local Universal Robots service provider for assistance."
C 281 A 13,Robot State Machine,Check aggregate joint mode status,"a) Do a Complete rebooting sequence b) Ensure the mounted payload, TCP and Co G matches your configuration. c) Update software d) Contact your local Universal Robots service provider for assistance."
C 281 A 14,IM MI entered the Fault State,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 281 A 15,IM MI entered the Violation State,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 1,Sy stick,Sy stick Sync: So C frequency synchronization started,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 2,Sy stick,"Sy stick Sync: So C frequency synchronization in progress, sample number xof 16 unexpected",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 3,Sy stick,"Sy stick Sync: So C frequency synchronization in progress, received'So C period' unexpected sample",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 4,Sy stick,"Sy stick Sync: So C frequency synchronization in progress, received'So C IS R Latency' unexpected sample",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 5,Sy stick,Sy stick Sync: unexpected So C period,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 6,Sy stick,Sy stick Sync: unexpected S ys Tick timer LOAD value [cpu-clock-cycles],a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 7,Sy stick,Sy stick Sync: So C frequency synchronization finished,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 8,Sy stick,Sy stick Sync: So C Phase synchronization started,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 9,Sy stick,Sy stick Sync: So C Phase error,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 10,Sy stick,Sy stick Sync: unexpected estimated Sy stick counter value at So C,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 11,Sy stick,Sy stick Sync: unexpected estimated Sy stick counter ticks to next So C,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 12,Sy stick,Sy stick Sync: So C Phase synchronization finished,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 13,Sy stick,The internal So C count value has been re synchronized with the FPGA So C count.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 282 A 14,Sy stick,SOC status data failed to update in a timely manner,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A,Safety system,,
C 283 A 0,Critical error,A critical error occurred in the safety system,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 1,Robot is not braking when in Stop Mode,,
C 283 A 2,Robot is moving when in Stop Mode,,
C 283 A 3,Power not removed from the motors while in Emergency Stop,,
C 283 A 4,Failed to power on the Robot arm,,
C 283 A 5,Invalid pin- configuration received,,
C 283 A 6,Trying to reassign pin configuration with specified configuration,,
C 283 A 7,Joint exceeded the velocity limit,,
C 283 A 8,The System Emergency Stop Output is not active,Failed to activate the System Emergency Stop Output. The output is active when voltage is low,a) Make sure output is not short circuited to a power supply
C 283 A 9,System Emergency Stop Output disagreement within the safety system,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 10,Robot Emergency Stop Input disagreement within the safety system,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 11,System Emergency Stop Input disagreement within the safety system,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 12,Safeguard Stop Input disagreement within the safety system,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 13,Safeguard Reset Input disagreement within the safety system,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 14,Operation Mode input disagreement within the safety system.,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 15,Three-Positional Enabling Device Input disagreement within the safety system,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 16,Safety system,Operation Mode Switch is defined and no Three- Positional Device is defined.,a) Ensure both inputs are properly connected b) Contact your local Universal Robots service provider for assistance.
C 283 A 17,Lost several Teach Pendant safety packages in a row,,a) Check that the teach pendant is proper connected b) Do a Complete rebooting sequence c) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 18,Lost too many Joint safety packages in a row.,,a) Check that the joints are proper connected b) Do a Complete rebooting sequence c) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 19,Safety system,Incorrect gravity vector sent from the controller,a) Check that the joints are proper connected b) Do a Complete rebooting sequence c) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 20,Safety system,Wrong payload mass sent from the controller,a) Check that the joints are proper connected b) Do a Complete rebooting sequence c) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 21,Safety system,Wrong payload center of gravity sent from the controller,a) Check that the joints are proper connected b) Do a Complete rebooting sequence c) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 22,Teach Pendant is connected while it is disabled in robot configuration,"If the Teach Pendant is enabled, it is connected. If it is disabled, it is not connected.",Disconnect the Teach Pendant or enable it in the configuration.
C 283 A 23,Safety system,Lost several safety packages in a row from other safety processor,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 24,Safety system,Got several safety packages too early in a row from other safety processor,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 25,Safety system,Got a ready message from an unexpected source,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 26,Force limitation: exceeded torque window,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Contact your local Universal Robots service provider for assistance."
C 283 A 27,Mismatch on Robot Configuration CRC between the safety system and Poly Scope,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 28,Mismatch on User Configuration CRC between the safety system and Poly Scope,,a) Do a Complete rebooting sequence b) Make new.installation c) Update software d) Contact your local Universal Robots service provider for assistance.
C 283 A 29,Safety system,Trying to reapply a part of the User Configuraton.,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 30,Safety system,"Trying to reapply a part of the Robot Configuraton,",a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 31,Safety system,Trying to reapply normal limits,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 32,Safety system,Trying to reapply reduced limits,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 33,Safety system,Trying to reapply safety CRC,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 34,Error while trying to apply safety configuration,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 35,Reduced Mode Output disagreement within the safety system,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 36,Not Reduced Mode Output disagreement within the safety system,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 37,Robot Moving Output disagreement within the safety system,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 38,Robot Not Stopping Output disagreement within the safety system,,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 39,Safety system,Several safety packages were received too late from the S CB processor,a) Do a Complete rebooting sequence b) Update software c) Contact your local Universal Robots service provider for assistance.
C 283 A 40,Reduced Mode Input disagreement within the safety systems,The input signals are not switching simultaneously or are incorrectly connected.,a) Ensure both inputs are correctly connected. b) Contact your local Universal Robots service provider for assistance.
C 283 A 41,TCP Velocity violates limits of maximum stopping time,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 42,TCP Velocity violates limits of maximum stopping distance,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 43,Joint moved too quickly toward a Joint position limit,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 44,The tool moved too fast towards an orientation limit,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 45,The Elbow moved too fast towards a safety plane,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
C 283 A 46,The tool moved too fast towards a safety plane,,"a) Ensure the mounted payload, TCP and Co G matches your configuration. b) Slowdown movements c) Check safety setting d) Contact your local Universal Robots service provider for assistance."
